"Day","month","member_casual","rideable_type","mean_count","Year"
"Fri","March","member","electric_bike",2707,2022
"Sat","March","casual","classic_bike",1821,2022
"Sat","March","casual","docked_bike",360,2022
"Sat","March","casual","electric_bike",1565,2022
"Sat","March","member","classic_bike",2576,2022
"Sat","March","member","electric_bike",2336,2022
"Sun","April","casual","classic_bike",1938,2022
"Sun","April","casual","docked_bike",551,2022
"Sun","April","casual","electric_bike",2358,2022
"Sun","April","member","classic_bike",3179,2022
"Sun","April","member","electric_bike",3186,2022
"Mon","April","casual","classic_bike",1002,2022
"Mon","April","casual","docked_bike",248,2022
"Mon","April","casual","electric_bike",1766,2022
"Mon","April","member","classic_bike",4199,2022
"Mon","April","member","electric_bike",4284,2022
"Tue","April","casual","classic_bike",1272,2022
"Tue","April","casual","docked_bike",273,2022
"Tue","April","casual","electric_bike",2092,2022
"Tue","April","member","classic_bike",5056,2022
"Tue","April","member","electric_bike",5052,2022
"Wed","April","casual","classic_bike",799,2022
"Wed","April","casual","docked_bike",172,2022
"Wed","April","casual","electric_bike",1644,2022
"Wed","April","member","classic_bike",3860,2022
"Wed","April","member","electric_bike",4237,2022
"Thu","April","casual","classic_bike",1425,2022
"Thu","April","casual","docked_bike",348,2022
"Thu","April","casual","electric_bike",2422,2022
"Thu","April","member","classic_bike",4565,2022
"Thu","April","member","electric_bike",5084,2022
"Fri","April","casual","classic_bike",1129,2022
"Fri","April","casual","docked_bike",288,2022
"Fri","April","casual","electric_bike",1953,2022
"Fri","April","member","classic_bike",3244,2022
"Fri","April","member","electric_bike",3949,2022
"Sat","April","casual","classic_bike",3231,2022
"Sat","April","casual","docked_bike",862,2022
"Sat","April","casual","electric_bike",3173,2022
"Sat","April","member","classic_bike",3903,2022
"Sat","April","member","electric_bike",3711,2022
"Sun","May","casual","classic_bike",5226,2022
"Sun","May","casual","docked_bike",1227,2022
"Sun","May","casual","electric_bike",4611,2022
"Sun","May","member","classic_bike",5476,2022
"Sun","May","member","electric_bike",4279,2022
"Mon","May","casual","classic_bike",4277,2022
"Mon","May","casual","docked_bike",978,2022
"Mon","May","casual","electric_bike",4239,2022
"Mon","May","member","classic_bike",7035,2022
"Mon","May","member","electric_bike",5377,2022
"Tue","May","casual","classic_bike",2986,2022
"Tue","May","casual","docked_bike",585,2022
"Tue","May","casual","electric_bike",3443,2022
"Tue","May","member","classic_bike",6733,2022
"Tue","May","member","electric_bike",5175,2022
"Wed","May","casual","classic_bike",2323,2022
"Wed","May","casual","docked_bike",422,2022
"Wed","May","casual","electric_bike",3272,2022
"Wed","May","member","classic_bike",6044,2022
"Wed","May","member","electric_bike",5230,2022
"Thu","May","casual","classic_bike",3610,2022
"Thu","May","casual","docked_bike",641,2022
"Thu","May","casual","electric_bike",4099,2022
"Thu","May","member","classic_bike",7103,2022
"Thu","May","member","electric_bike",5813,2022
"Fri","May","casual","classic_bike",3534,2022
"Fri","May","casual","docked_bike",625,2022
"Fri","May","casual","electric_bike",3900,2022
"Fri","May","member","classic_bike",5788,2022
"Fri","May","member","electric_bike",4790,2022
"Sat","May","casual","classic_bike",6441,2022
"Sat","May","casual","docked_bike",1427,2022
"Sat","May","casual","electric_bike",5346,2022
"Sat","May","member","classic_bike",6503,2022
"Sat","May","member","electric_bike",4746,2022
"Sun","June","casual","classic_bike",7806,2022
"Sun","June","casual","docked_bike",1670,2022
"Sun","June","casual","electric_bike",6986,2022
"Sun","June","member","classic_bike",7328,2022
"Sun","June","member","electric_bike",4937,2022
"Mon","June","casual","classic_bike",4136,2022
"Mon","June","casual","docked_bike",795,2022
"Mon","June","casual","electric_bike",4320,2022
"Mon","June","member","classic_bike",6964,2022
"Mon","June","member","electric_bike",4734,2022
"Tue","June","casual","classic_bike",4480,2022
"Tue","June","casual","docked_bike",718,2022
"Tue","June","casual","electric_bike",4508,2022
"Tue","June","member","classic_bike",8290,2022
"Tue","June","member","electric_bike",5456,2022
"Wed","June","casual","classic_bike",4337,2022
"Wed","June","casual","docked_bike",676,2022
"Wed","June","casual","electric_bike",4664,2022
"Wed","June","member","classic_bike",8188,2022
"Wed","June","member","electric_bike",5571,2022
"Thu","June","casual","classic_bike",5132,2022
"Thu","June","casual","docked_bike",841,2022
"Thu","June","casual","electric_bike",5623,2022
"Thu","June","member","classic_bike",8522,2022
"Thu","June","member","electric_bike",6178,2022
"Fri","June","casual","classic_bike",6450,2022
"Fri","June","casual","docked_bike",1076,2022
"Fri","June","casual","electric_bike",6441,2022
"Fri","June","member","classic_bike",8442,2022
"Fri","June","member","electric_bike",5889,2022
"Sat","June","casual","classic_bike",7790,2022
"Sat","June","casual","docked_bike",1504,2022
"Sat","June","casual","electric_bike",6990,2022
"Sat","June","member","classic_bike",7254,2022
"Sat","June","member","electric_bike",5170,2022
"Sun","July","casual","classic_bike",6329,2022
"Sun","July","casual","docked_bike",1398,2022
"Sun","July","casual","electric_bike",7923,2022
"Sun","July","member","classic_bike",6257,2022
"Sun","July","member","electric_bike",5499,2022
"Mon","July","casual","classic_bike",4080,2022
"Mon","July","casual","docked_bike",929,2022
"Mon","July","casual","electric_bike",5984,2022
"Mon","July","member","classic_bike",6629,2022
"Mon","July","member","electric_bike",5834,2022
"Tue","July","casual","classic_bike",3797,2022
"Tue","July","casual","docked_bike",714,2022
"Tue","July","casual","electric_bike",5852,2022
"Tue","July","member","classic_bike",7564,2022
"Tue","July","member","electric_bike",6817,2022
"Wed","July","casual","classic_bike",3888,2022
"Wed","July","casual","docked_bike",707,2022
